metal_detected,ir_detected,rain_value,color_value,label
0,1,4095,85,dry nonbio
0,1,4095,116,dry nonbio
0,1,4095,108,dry nonbio
0,1,4095,112,dry nonbio
0,1,4095,107,dry nonbio
0,1,4095,93,dry nonbio
0,1,4095,198,dry nonbio
0,1,4095,182,dry nonbio
0,1,4095,182,dry nonbio
0,1,4095,170,dry nonbio
0,1,4095,250,dry nonbio
0,1,4095,263,dry nonbio
0,1,4095,267,dry nonbio
0,1,4095,75,dry nonbio
0,1,4095,77,dry nonbio
0,1,4095,79,dry nonbio
0,1,4095,78,dry nonbio
0,1,4095,91,dry nonbio
0,1,4095,103,dry nonbio
0,1,4095,103,dry nonbio
0,1,4095,144,dry nonbio
0,1,4095,139,dry nonbio
0,1,4095,139,dry nonbio
0,1,4095,131,dry nonbio
0,1,4095,110,dry nonbio
0,1,4095,176,dry nonbio
0,1,4095,170,dry nonbio
0,1,4095,167,dry nonbio
0,1,4095,171,dry nonbio
0,1,4095,165,dry nonbio
0,1,4095,164,dry nonbio
0,1,4095,164,dry nonbio
0,1,4095,103,dry nonbio
0,1,4095,105,dry nonbio
0,1,4095,110,dry nonbio
0,1,4095,99,dry nonbio
0,1,4095,94,dry nonbio
0,1,4095,299,dry nonbio
0,1,4095,293,dry nonbio
0,1,4095,293,dry nonbio
0,1,4095,288,dry nonbio
0,1,4095,285,dry nonbio
0,1,4095,286,dry nonbio
0,1,4095,294,dry nonbio
0,1,4095,292,dry nonbio
0,1,4095,295,dry nonbio
0,1,4095,288,dry nonbio
0,1,4095,103,dry nonbio
0,1,4095,112,dry nonbio
0,1,4095,111,dry nonbio
0,1,4095,112,dry nonbio
0,1,4095,104,dry nonbio
0,1,4095,112,dry nonbio
0,1,4095,113,dry nonbio
0,1,4095,101,dry nonbio
0,1,4095,111,dry nonbio
0,1,4095,112,dry nonbio
0,1,921,301,wet
0,1,987,302,wet
0,1,912,302,wet
0,1,1084,302,wet
0,1,1185,310,wet
0,1,1198,323,wet
0,1,1237,323,wet
0,1,1246,310,wet
0,1,1264,300,wet
0,1,1247,307,wet
0,1,1256,306,wet
0,1,1149,306,wet
0,1,1190,316,wet
0,1,1125,323,wet
0,1,1294,323,wet
0,1,1232,313,wet
0,1,1203,313,wet
0,1,1213,323,wet
0,1,1145,319,wet
0,1,1293,309,wet
0,1,1267,309,wet
0,1,1104,299,wet
0,1,1205,301,wet
0,1,1259,318,wet
0,1,1203,330,wet
0,1,1155,330,wet
0,1,1203,330,wet
0,1,1242,319,wet
0,1,1127,314,wet
0,1,1175,319,wet
0,1,1150,328,wet
0,1,1119,337,wet
0,1,1165,332,wet
0,1,1280,322,wet
0,1,1147,320,wet
0,1,1131,320,wet
0,1,1274,322,wet
0,1,1168,330,wet
0,1,1182,332,wet
0,1,1227,331,wet
0,1,1221,315,wet
0,1,1279,315,wet
0,1,1264,318,wet
0,1,1168,318,wet
0,1,1137,319,wet
0,1,1227,329,wet
0,1,1067,333,wet
0,1,1166,334,wet
0,1,1056,320,wet
0,1,1191,321,wet
0,1,1115,320,wet
0,1,1109,331,wet
0,1,1200,339,wet
0,1,1097,339,wet
0,1,1109,325,wet
0,1,1104,315,wet
0,1,1124,315,wet
0,1,1227,323,wet
0,1,1140,339,wet
0,1,1104,340,wet
0,1,1140,327,wet
0,1,1089,327,wet
0,1,1131,314,wet
0,1,1095,321,wet
0,1,1168,322,wet
0,1,1076,317,wet
